Roe, CFL=0.1
32 0.050 0.002 0.009 - - -
64 0.950 0.015 0.118 -4.296 -2.940 -3.755
128 0.095 0.001 0.008 3.341 3.929 3.905
256 0.864 0.003 0.054 -3.194 -1.589 -2.763
Rusanov, CFL=0.1
32 0.075 0.003 0.014 - - -
64 0.925 0.015 0.115 -3.665 -2.348 -3.072
128 0.138 0.001 0.013 2.760 3.929 3.163
256 0.809 0.003 0.051 -2.559 -1.589 -1.978
LLF, CFL=0.1
32 0.075 0.003 0.014 - - -
64 0.925 0.015 0.115 -3.665 -2.348 -3.072
128 0.138 0.001 0.013 2.760 3.929 3.163
256 0.809 0.003 0.051 -2.559 -1.589 -1.978
EO, CFL=0.1
32 0.050 0.002 0.009 - - -
64 0.950 0.015 0.118 -4.296 -2.940 -3.755
128 0.095 0.001 0.008 3.341 3.929 3.905
256 0.864 0.003 0.054 -3.194 -1.589 -2.763
BGP, CFL=0.1
32 0.400 0.030 0.098 - - -
64 0.600 0.018 0.089 -0.592 0.745 0.141
128 0.303 0.008 0.041 0.991 1.177 1.124
256 0.548 0.005 0.043 -0.857 0.680 -0.069
BGP_ch, CFL=0.1
32 0.400 0.016 0.073 - - -
64 1.000 0.023 0.132 -1.337 -0.529 -0.864
128 0.351 0.008 0.045 1.519 1.532 1.561
256 0.697 0.006 0.051 -0.992 0.416 -0.181
