Roe, CFL=0.5
32 0.250 0.008 0.044 - - -
64 0.750 0.012 0.093 -1.603 -0.592 -1.092
128 0.250 0.002 0.022 1.594 2.600 2.091
256 0.750 0.003 0.047 -1.589 -0.587 -1.098
Rusanov, CFL=0.5
32 0.375 0.015 0.069 - - -
64 0.625 0.012 0.079 -0.745 0.326 -0.197
128 0.375 0.004 0.035 0.741 1.594 1.181
256 0.625 0.003 0.040 -0.739 0.416 -0.193
LLF, CFL=0.5
32 0.375 0.015 0.069 - - -
64 0.625 0.012 0.079 -0.745 0.326 -0.197
128 0.375 0.004 0.035 0.741 1.594 1.181
256 0.625 0.003 0.040 -0.739 0.416 -0.193
EO, CFL=0.5
32 0.250 0.008 0.044 - - -
64 0.750 0.012 0.093 -1.603 -0.592 -1.092
128 0.250 0.002 0.022 1.594 2.600 2.091
256 0.750 0.003 0.047 -1.589 -0.587 -1.098
BGP, CFL=0.5
32 0.500 0.030 0.104 - - -
64 0.500 0.015 0.074 0.000 1.011 0.497
128 0.500 0.008 0.052 0.000 0.912 0.512
256 0.500 0.004 0.037 0.000 1.003 0.492
BGP_ch, CFL=0.5
32 0.500 0.019 0.090 - - -
64 1.000 0.021 0.129 -1.011 -0.146 -0.525
128 0.281 0.003 0.026 1.842 2.823 2.324
256 1.000 0.005 0.065 -1.837 -0.739 -1.326
