Roe, CFL=0.7
32 0.225 0.030 0.068 - - -
64 0.136 0.015 0.035 0.735 1.011 0.969
128 0.074 0.008 0.019 0.883 0.912 0.886
256 0.038 0.004 0.010 0.964 1.003 0.929
Rusanov, CFL=0.7
32 0.211 0.030 0.067 - - -
64 0.133 0.015 0.035 0.673 1.011 0.947
128 0.073 0.008 0.019 0.870 0.912 0.886
256 0.038 0.004 0.010 0.945 1.003 0.929
LLF, CFL=0.7
32 0.211 0.030 0.067 - - -
64 0.133 0.015 0.035 0.673 1.011 0.947
128 0.073 0.008 0.019 0.870 0.912 0.886
256 0.038 0.004 0.010 0.945 1.003 0.929
EO, CFL=0.7
32 0.225 0.030 0.068 - - -
64 0.136 0.015 0.035 0.735 1.011 0.969
128 0.074 0.008 0.019 0.883 0.912 0.886
256 0.038 0.004 0.010 0.964 1.003 0.929
BGP, CFL=0.7
32 0.227 0.031 0.067 - - -
64 0.133 0.015 0.035 0.780 1.059 0.947
128 0.076 0.008 0.019 0.812 0.912 0.886
256 0.040 0.005 0.010 0.929 0.680 0.929
BGP_ch, CFL=0.7
32 0.298 0.036 0.082 - - -
64 0.154 0.020 0.048 0.963 0.858 0.781
128 0.078 0.011 0.025 0.987 0.867 0.946
256 0.041 0.006 0.014 0.930 0.877 0.839
