Roe, CFL=0.1
32 0.287 0.043 0.098 - - -
64 0.151 0.024 0.053 0.937 0.851 0.897
128 0.077 0.012 0.026 0.977 1.006 1.033
256 0.039 0.006 0.014 0.984 1.003 0.896
Rusanov, CFL=0.1
32 0.285 0.043 0.097 - - -
64 0.151 0.024 0.053 0.927 0.851 0.882
128 0.077 0.012 0.026 0.977 1.006 1.033
256 0.039 0.006 0.014 0.984 1.003 0.896
LLF, CFL=0.1
32 0.285 0.043 0.097 - - -
64 0.151 0.024 0.053 0.927 0.851 0.882
128 0.077 0.012 0.026 0.977 1.006 1.033
256 0.039 0.006 0.014 0.984 1.003 0.896
EO, CFL=0.1
32 0.287 0.043 0.098 - - -
64 0.151 0.024 0.053 0.937 0.851 0.897
128 0.077 0.012 0.026 0.977 1.006 1.033
256 0.039 0.006 0.014 0.984 1.003 0.896
BGP, CFL=0.1
32 0.272 0.044 0.094 - - -
64 0.156 0.024 0.052 0.811 0.884 0.864
128 0.081 0.012 0.026 0.951 1.006 1.006
256 0.041 0.006 0.014 0.985 1.003 0.896
BGP_ch, CFL=0.1
32 0.298 0.043 0.095 - - -
64 0.156 0.025 0.055 0.944 0.791 0.797
128 0.082 0.012 0.027 0.933 1.065 1.032
256 0.041 0.006 0.014 1.003 1.003 0.950
