Roe, CFL=0.9
32 0.204 0.025 0.060 - - -
64 0.131 0.012 0.031 0.646 1.071 0.963
128 0.073 0.006 0.017 0.848 1.006 0.872
256 0.038 0.004 0.009 0.945 0.587 0.920
Rusanov, CFL=0.9
32 0.187 0.025 0.060 - - -
64 0.127 0.012 0.031 0.564 1.071 0.963
128 0.071 0.006 0.016 0.844 1.006 0.960
256 0.038 0.004 0.009 0.904 0.587 0.832
LLF, CFL=0.9
32 0.187 0.025 0.060 - - -
64 0.127 0.012 0.031 0.564 1.071 0.963
128 0.071 0.006 0.016 0.844 1.006 0.960
256 0.038 0.004 0.009 0.904 0.587 0.832
EO, CFL=0.9
32 0.204 0.025 0.060 - - -
64 0.131 0.012 0.031 0.646 1.071 0.963
128 0.073 0.006 0.017 0.848 1.006 0.872
256 0.038 0.004 0.009 0.945 0.587 0.920
BGP, CFL=0.9
32 0.210 0.027 0.058 - - -
64 0.129 0.013 0.031 0.711 1.066 0.914
128 0.074 0.007 0.016 0.806 0.898 0.960
256 0.040 0.004 0.009 0.890 0.810 0.832
BGP_ch, CFL=0.9
32 0.298 0.033 0.078 - - -
64 0.154 0.019 0.046 0.963 0.805 0.770
128 0.078 0.010 0.024 0.987 0.931 0.944
256 0.041 0.005 0.013 0.930 1.003 0.887
