Roe, CFL=0.5
32 0.246 0.034 0.077 - - -
64 0.141 0.018 0.041 0.812 0.928 0.919
128 0.075 0.009 0.022 0.916 1.006 0.903
256 0.039 0.005 0.012 0.946 0.850 0.877
Rusanov, CFL=0.5
32 0.236 0.034 0.076 - - -
64 0.139 0.018 0.041 0.772 0.928 0.900
128 0.074 0.009 0.022 0.915 1.006 0.903
256 0.038 0.005 0.012 0.964 0.850 0.877
LLF, CFL=0.5
32 0.236 0.034 0.076 - - -
64 0.139 0.018 0.041 0.772 0.928 0.900
128 0.074 0.009 0.022 0.915 1.006 0.903
256 0.038 0.005 0.012 0.964 0.850 0.877
EO, CFL=0.5
32 0.246 0.034 0.077 - - -
64 0.141 0.018 0.041 0.812 0.928 0.919
128 0.075 0.009 0.022 0.916 1.006 0.903
256 0.039 0.005 0.012 0.946 0.850 0.877
BGP, CFL=0.5
32 0.244 0.036 0.076 - - -
64 0.140 0.018 0.041 0.810 1.011 0.900
128 0.078 0.009 0.022 0.849 1.006 0.903
256 0.041 0.005 0.012 0.930 0.850 0.877
BGP_ch, CFL=0.5
32 0.298 0.038 0.086 - - -
64 0.154 0.022 0.050 0.963 0.797 0.791
128 0.078 0.011 0.026 0.987 1.006 0.949
256 0.041 0.006 0.014 0.930 0.877 0.896
