Roe, CFL=0.7
32 0.650 0.030 0.129 - - -
64 0.650 0.020 0.114 0.000 0.592 0.180
128 0.650 0.008 0.065 0.000 1.329 0.815
256 0.650 0.005 0.057 0.000 0.680 0.190
Rusanov, CFL=0.7
32 0.525 0.041 0.131 - - -
64 0.475 0.020 0.089 0.146 1.047 0.564
128 0.525 0.010 0.066 -0.145 1.006 0.434
256 0.475 0.005 0.045 0.145 1.003 0.554
LLF, CFL=0.7
32 0.525 0.041 0.131 - - -
64 0.475 0.020 0.089 0.146 1.047 0.564
128 0.525 0.010 0.066 -0.145 1.006 0.434
256 0.475 0.005 0.045 0.145 1.003 0.554
EO, CFL=0.7
32 0.650 0.030 0.129 - - -
64 0.650 0.020 0.114 0.000 0.592 0.180
128 0.650 0.008 0.065 0.000 1.329 0.815
256 0.650 0.005 0.057 0.000 0.680 0.190
BGP, CFL=0.7
32 0.550 0.054 0.135 - - -
64 0.450 0.026 0.088 0.293 1.066 0.624
128 0.550 0.014 0.068 -0.291 0.898 0.374
256 0.450 0.007 0.044 0.290 1.003 0.630
BGP_ch, CFL=0.7
32 0.550 0.034 0.120 - - -
64 1.000 0.027 0.137 -0.872 0.336 -0.193
128 0.389 0.006 0.042 1.370 2.182 1.715
256 1.000 0.007 0.069 -1.366 -0.223 -0.718
