Roe, CFL=0.1
32 0.950 0.030 0.166 - - -
64 0.950 0.029 0.167 0.000 0.049 -0.009
128 0.900 0.008 0.080 0.078 1.868 1.068
256 0.864 0.007 0.076 0.059 0.193 0.074
Rusanov, CFL=0.1
32 0.925 0.032 0.162 - - -
64 0.925 0.029 0.162 0.000 0.144 0.000
128 0.858 0.008 0.077 0.109 1.868 1.079
256 0.809 0.007 0.071 0.085 0.193 0.117
LLF, CFL=0.1
32 0.925 0.032 0.162 - - -
64 0.925 0.029 0.162 0.000 0.144 0.000
128 0.858 0.008 0.077 0.109 1.868 1.079
256 0.809 0.007 0.071 0.085 0.193 0.117
EO, CFL=0.1
32 0.950 0.030 0.166 - - -
64 0.950 0.029 0.167 0.000 0.049 -0.009
128 0.900 0.008 0.080 0.078 1.868 1.068
256 0.864 0.007 0.076 0.059 0.193 0.074
BGP, CFL=0.1
32 0.599 0.067 0.158 - - -
64 0.600 0.037 0.126 -0.002 0.866 0.330
128 0.727 0.019 0.081 -0.279 0.967 0.641
256 0.548 0.010 0.059 0.409 0.929 0.458
BGP_ch, CFL=0.1
32 0.599 0.038 0.129 - - -
64 1.000 0.034 0.153 -0.748 0.162 -0.249
128 0.599 0.017 0.074 0.744 1.006 1.054
256 0.697 0.010 0.064 -0.219 0.768 0.210
