Roe, CFL=0.9
32 0.550 0.030 0.124 - - -
64 0.550 0.017 0.096 0.000 0.829 0.373
128 0.550 0.008 0.063 0.000 1.094 0.611
256 0.550 0.004 0.049 0.000 1.003 0.364
Rusanov, CFL=0.9
32 0.675 0.044 0.142 - - -
64 0.325 0.017 0.069 1.066 1.387 1.053
128 0.675 0.011 0.072 -1.060 0.632 -0.062
256 0.325 0.004 0.035 1.057 1.464 1.044
LLF, CFL=0.9
32 0.675 0.044 0.142 - - -
64 0.325 0.017 0.069 1.066 1.387 1.053
128 0.675 0.011 0.072 -1.060 0.632 -0.062
256 0.325 0.004 0.035 1.057 1.464 1.044
EO, CFL=0.9
32 0.550 0.030 0.124 - - -
64 0.550 0.017 0.096 0.000 0.829 0.373
128 0.550 0.008 0.063 0.000 1.094 0.611
256 0.550 0.004 0.049 0.000 1.003 0.364
BGP, CFL=0.9
32 0.600 0.048 0.131 - - -
64 0.400 0.022 0.075 0.592 1.138 0.814
128 0.600 0.012 0.066 -0.588 0.879 0.185
256 0.400 0.005 0.038 0.587 1.267 0.799
BGP_ch, CFL=0.9
32 0.600 0.032 0.119 - - -
64 1.000 0.025 0.133 -0.745 0.360 -0.162
128 0.299 0.005 0.034 1.752 2.335 1.979
256 1.000 0.006 0.067 -1.747 -0.264 -0.981
