Roe, CFL=0.1
32 0.576 0.046 0.130 - - -
64 0.884 0.043 0.141 -0.625 0.098 -0.119
128 0.612 0.016 0.064 0.534 1.434 1.146
256 0.557 0.010 0.043 0.136 0.680 0.575
512 0.883 0.007 0.046 -0.666 0.515 -0.097
Rusanov, CFL=0.1
32 0.539 0.054 0.127 - - -
64 0.812 0.045 0.134 -0.598 0.266 -0.078
128 0.568 0.018 0.064 0.518 1.329 1.072
256 0.526 0.011 0.043 0.111 0.712 0.575
512 0.806 0.007 0.044 -0.617 0.653 -0.033
LLF, CFL=0.1
32 0.539 0.054 0.127 - - -
64 0.812 0.045 0.134 -0.598 0.266 -0.078
128 0.568 0.018 0.064 0.518 1.329 1.072
256 0.526 0.011 0.043 0.111 0.712 0.575
512 0.806 0.007 0.044 -0.617 0.653 -0.033
EO, CFL=0.1
32 0.576 0.046 0.130 - - -
64 0.884 0.043 0.141 -0.625 0.098 -0.119
128 0.612 0.016 0.064 0.534 1.434 1.146
256 0.557 0.010 0.043 0.136 0.680 0.575
512 0.883 0.007 0.046 -0.666 0.515 -0.097
BGP, CFL=0.1
32 0.540 0.152 0.225 - - -
64 0.509 0.102 0.164 0.086 0.582 0.461
128 0.459 0.062 0.116 0.150 0.722 0.502
256 0.533 0.045 0.093 -0.216 0.464 0.320
512 0.583 0.030 0.071 -0.130 0.586 0.390
BGP_ch, CFL=0.1
32 0.535 0.149 0.223 - - -
64 0.509 0.097 0.160 0.073 0.626 0.484
128 0.459 0.060 0.115 0.150 0.697 0.479
256 0.486 0.044 0.092 -0.083 0.449 0.323
512 0.539 0.029 0.069 -0.150 0.602 0.416
