Roe, CFL=0.5
32 0.485 0.039 0.108 - - -
64 0.885 0.037 0.132 -0.877 0.077 -0.293
128 0.627 0.014 0.062 0.500 1.410 1.096
256 0.471 0.008 0.035 0.414 0.810 0.827
512 0.878 0.005 0.043 -0.900 0.679 -0.297
Rusanov, CFL=0.5
32 0.454 0.049 0.110 - - -
64 0.788 0.039 0.124 -0.804 0.333 -0.175
128 0.557 0.016 0.061 0.503 1.293 1.029
256 0.449 0.009 0.037 0.312 0.832 0.723
512 0.778 0.006 0.040 -0.794 0.586 -0.113
LLF, CFL=0.5
32 0.454 0.049 0.110 - - -
64 0.788 0.039 0.124 -0.804 0.333 -0.175
128 0.557 0.016 0.061 0.503 1.293 1.029
256 0.449 0.009 0.037 0.312 0.832 0.723
512 0.778 0.006 0.040 -0.794 0.586 -0.113
EO, CFL=0.5
32 0.485 0.039 0.108 - - -
64 0.885 0.037 0.132 -0.877 0.077 -0.293
128 0.627 0.014 0.062 0.500 1.410 1.096
256 0.471 0.008 0.035 0.414 0.810 0.827
512 0.878 0.005 0.043 -0.900 0.679 -0.297
BGP, CFL=0.5
32 0.375 0.059 0.108 - - -
64 0.827 0.055 0.132 -1.154 0.102 -0.293
128 0.690 0.029 0.080 0.263 0.929 0.727
256 0.626 0.017 0.055 0.141 0.773 0.542
512 0.824 0.010 0.045 -0.397 0.767 0.290
BGP_ch, CFL=0.5
32 0.375 0.059 0.109 - - -
64 0.698 0.051 0.119 -0.906 0.213 -0.128
128 0.522 0.027 0.068 0.422 0.923 0.812
256 0.428 0.016 0.046 0.287 0.757 0.565
512 0.636 0.009 0.037 -0.572 0.831 0.315
