Roe, CFL=0.9
32 0.618 0.034 0.122 - - -
64 0.955 0.034 0.136 -0.635 0.000 -0.158
128 0.573 0.011 0.055 0.741 1.637 1.313
256 0.612 0.006 0.041 -0.095 0.877 0.425
512 0.954 0.005 0.045 -0.641 0.263 -0.134
Rusanov, CFL=0.9
32 0.547 0.047 0.122 - - -
64 0.842 0.037 0.127 -0.629 0.349 -0.059
128 0.486 0.014 0.054 0.797 1.410 1.241
256 0.512 0.008 0.038 -0.075 0.810 0.508
512 0.852 0.005 0.042 -0.736 0.679 -0.145
LLF, CFL=0.9
32 0.547 0.047 0.122 - - -
64 0.842 0.037 0.127 -0.629 0.349 -0.059
128 0.486 0.014 0.054 0.797 1.410 1.241
256 0.512 0.008 0.038 -0.075 0.810 0.508
512 0.852 0.005 0.042 -0.736 0.679 -0.145
EO, CFL=0.9
32 0.618 0.034 0.122 - - -
64 0.955 0.034 0.136 -0.635 0.000 -0.158
128 0.573 0.011 0.055 0.741 1.637 1.313
256 0.612 0.006 0.041 -0.095 0.877 0.425
512 0.954 0.005 0.045 -0.641 0.263 -0.134
BGP, CFL=0.9
32 0.755 0.059 0.151 - - -
64 0.668 0.043 0.125 0.179 0.462 0.276
128 0.270 0.018 0.048 1.314 1.263 1.389
256 0.272 0.010 0.033 -0.011 0.850 0.542
512 0.601 0.007 0.041 -1.145 0.515 -0.314
BGP_ch, CFL=0.9
32 0.610 0.053 0.128 - - -
64 0.668 0.044 0.119 -0.133 0.272 0.106
128 0.270 0.016 0.044 1.314 1.468 1.443
256 0.272 0.009 0.031 -0.011 0.832 0.507
512 0.601 0.006 0.033 -1.145 0.586 -0.090
