Roe, CFL=0.7
32 0.563 0.037 0.117 - - -
64 0.896 0.034 0.129 -0.678 0.123 -0.142
128 0.655 0.012 0.063 0.455 1.511 1.040
256 0.481 0.007 0.034 0.447 0.780 0.892
512 0.939 0.005 0.046 -0.966 0.486 -0.437
Rusanov, CFL=0.7
32 0.494 0.047 0.114 - - -
64 0.785 0.037 0.120 -0.676 0.349 -0.075
128 0.562 0.015 0.060 0.485 1.310 1.006
256 0.445 0.008 0.036 0.338 0.909 0.739
512 0.843 0.006 0.043 -0.923 0.416 -0.257
LLF, CFL=0.7
32 0.494 0.047 0.114 - - -
64 0.785 0.037 0.120 -0.676 0.349 -0.075
128 0.562 0.015 0.060 0.485 1.310 1.006
256 0.445 0.008 0.036 0.338 0.909 0.739
512 0.843 0.006 0.043 -0.923 0.416 -0.257
EO, CFL=0.7
32 0.563 0.037 0.117 - - -
64 0.896 0.034 0.129 -0.678 0.123 -0.142
128 0.655 0.012 0.063 0.455 1.511 1.040
256 0.481 0.007 0.034 0.447 0.780 0.892
512 0.939 0.005 0.046 -0.966 0.486 -0.437
BGP, CFL=0.7
32 0.369 0.060 0.112 - - -
64 0.615 0.046 0.118 -0.745 0.388 -0.076
128 0.759 0.024 0.079 -0.305 0.944 0.582
256 0.671 0.014 0.053 0.178 0.780 0.577
512 0.935 0.009 0.047 -0.479 0.638 0.174
BGP_ch, CFL=0.7
32 0.369 0.049 0.099 - - -
64 0.615 0.043 0.111 -0.745 0.191 -0.167
128 0.551 0.022 0.065 0.159 0.972 0.776
256 0.418 0.013 0.043 0.400 0.761 0.598
512 0.748 0.007 0.038 -0.841 0.894 0.179
