Roe, CFL=0.5
32 0.250 0.008 0.044 - - -
64 0.750 0.012 0.093 -1.603 -0.592 -1.092
128 0.250 0.002 0.022 1.594 2.600 2.091
256 0.750 0.003 0.047 -1.589 -0.587 -1.098
Rusanov, CFL=0.5
32 0.375 0.015 0.069 - - -
64 0.625 0.012 0.079 -0.745 0.326 -0.197
128 0.375 0.004 0.035 0.741 1.594 1.181
256 0.625 0.003 0.040 -0.739 0.416 -0.193
LLF, CFL=0.5
32 0.375 0.015 0.069 - - -
64 0.625 0.012 0.079 -0.745 0.326 -0.197
128 0.375 0.004 0.035 0.741 1.594 1.181
256 0.625 0.003 0.040 -0.739 0.416 -0.193
EO, CFL=0.5
32 0.250 0.008 0.044 - - -
64 0.750 0.012 0.093 -1.603 -0.592 -1.092
128 0.250 0.002 0.022 1.594 2.600 2.091
256 0.750 0.003 0.047 -1.589 -0.587 -1.098
BGP, CFL=0.5
32 0.531 0.030 0.106 - - -
64 0.469 0.014 0.069 0.181 1.112 0.626
128 0.531 0.008 0.053 -0.180 0.812 0.383
256 0.469 0.004 0.035 0.180 1.003 0.600
BGP_ch, CFL=0.5
32 0.531 0.019 0.094 - - -
64 1.000 0.021 0.129 -0.924 -0.146 -0.462
128 0.250 0.003 0.025 2.011 2.823 2.381
256 1.000 0.005 0.065 -2.006 -0.739 -1.382
