Roe, CFL=0.1
32 0.050 0.002 0.009 - - -
64 0.950 0.015 0.118 -4.296 -2.940 -3.755
128 0.100 0.001 0.009 3.266 3.929 3.734
256 0.851 0.003 0.053 -3.098 -1.589 -2.565
Rusanov, CFL=0.1
32 0.075 0.003 0.014 - - -
64 0.925 0.015 0.115 -3.665 -2.348 -3.072
128 0.142 0.001 0.013 2.719 3.929 3.163
256 0.797 0.003 0.050 -2.496 -1.589 -1.949
LLF, CFL=0.1
32 0.075 0.003 0.014 - - -
64 0.925 0.015 0.115 -3.665 -2.348 -3.072
128 0.142 0.001 0.013 2.719 3.929 3.163
256 0.797 0.003 0.050 -2.496 -1.589 -1.949
EO, CFL=0.1
32 0.050 0.002 0.009 - - -
64 0.950 0.015 0.118 -4.296 -2.940 -3.755
128 0.100 0.001 0.009 3.266 3.929 3.734
256 0.851 0.003 0.053 -3.098 -1.589 -2.565
BGP, CFL=0.1
32 0.401 0.030 0.098 - - -
64 0.599 0.018 0.089 -0.585 0.745 0.141
128 0.273 0.007 0.036 1.140 1.370 1.313
256 0.543 0.005 0.041 -0.995 0.487 -0.188
BGP_ch, CFL=0.1
32 0.401 0.016 0.073 - - -
64 1.000 0.023 0.132 -1.333 -0.529 -0.864
128 0.350 0.008 0.043 1.523 1.532 1.627
256 0.727 0.006 0.052 -1.058 0.416 -0.275
