Roe, CFL=0.9
32 0.450 0.014 0.078 - - -
64 0.550 0.008 0.068 -0.293 0.816 0.200
128 0.450 0.003 0.040 0.291 1.423 0.770
256 0.550 0.002 0.034 -0.290 0.587 0.235
Rusanov, CFL=0.9
32 0.675 0.027 0.124 - - -
64 0.325 0.008 0.049 1.066 1.775 1.355
128 0.675 0.007 0.063 -1.060 0.194 -0.365
256 0.325 0.002 0.025 1.057 1.812 1.337
LLF, CFL=0.9
32 0.675 0.027 0.124 - - -
64 0.325 0.008 0.049 1.066 1.775 1.355
128 0.675 0.007 0.063 -1.060 0.194 -0.365
256 0.325 0.002 0.025 1.057 1.812 1.337
EO, CFL=0.9
32 0.450 0.014 0.078 - - -
64 0.550 0.008 0.068 -0.293 0.816 0.200
128 0.450 0.003 0.040 0.291 1.423 0.770
256 0.550 0.002 0.034 -0.290 0.587 0.235
BGP, CFL=0.9
32 0.701 0.030 0.127 - - -
64 0.299 0.009 0.044 1.243 1.757 1.546
128 0.701 0.008 0.064 -1.236 0.171 -0.544
256 0.299 0.002 0.022 1.233 2.006 1.545
BGP_ch, CFL=0.9
32 0.701 0.022 0.122 - - -
64 1.000 0.020 0.126 -0.518 0.139 -0.047
128 0.150 0.002 0.017 2.752 3.341 2.906
256 1.000 0.005 0.064 -2.745 -1.326 -1.918
