Roe, CFL=0.7
32 0.350 0.011 0.061 - - -
64 0.650 0.010 0.081 -0.903 0.139 -0.414
128 0.350 0.003 0.031 0.898 1.747 1.393
256 0.650 0.003 0.041 -0.896 0.000 -0.404
Rusanov, CFL=0.7
32 0.525 0.021 0.096 - - -
64 0.475 0.010 0.063 0.146 1.082 0.615
128 0.525 0.005 0.049 -0.145 1.006 0.365
256 0.475 0.003 0.032 0.145 0.739 0.616
LLF, CFL=0.7
32 0.525 0.021 0.096 - - -
64 0.475 0.010 0.063 0.146 1.082 0.615
128 0.525 0.005 0.049 -0.145 1.006 0.365
256 0.475 0.003 0.032 0.145 0.739 0.616
EO, CFL=0.7
32 0.350 0.011 0.061 - - -
64 0.650 0.010 0.081 -0.903 0.139 -0.414
128 0.350 0.003 0.031 0.898 1.747 1.393
256 0.650 0.003 0.041 -0.896 0.000 -0.404
BGP, CFL=0.7
32 0.611 0.030 0.115 - - -
64 0.389 0.012 0.057 0.659 1.337 1.024
128 0.611 0.008 0.058 -0.655 0.588 -0.025
256 0.389 0.003 0.029 0.653 1.419 1.003
BGP_ch, CFL=0.7
32 0.611 0.020 0.107 - - -
64 1.000 0.020 0.127 -0.719 0.000 -0.250
128 0.200 0.003 0.021 2.335 2.752 2.611
256 1.000 0.005 0.064 -2.328 -0.739 -1.612
